Classification,ligand_fls2_iptm
canonical/immunogenic,0.8866666666666667
canonical/immunogenic,0.8866666666666667
canonical/immunogenic,0.88
canonical/immunogenic,0.8866666666666667
canonical/immunogenic,0.8933333333333334
canonical/immunogenic,0.8866666666666667
canonical/immunogenic,0.91
canonical/immunogenic,0.8566666666666666
canonical/immunogenic,0.88
canonical/immunogenic,0.8966666666666666
canonical/immunogenic,0.9066666666666667
canonical/immunogenic,0.9133333333333334
canonical/immunogenic,0.9
canonical/immunogenic,0.8766666666666666
canonical/immunogenic,0.91
canonical/immunogenic,0.9133333333333334
Deviant,0.89
Deviant,0.8866666666666667
Deviant,0.8933333333333334
Evading,0.89
Evading/antagonist,0.8366666666666666
Evading/antagonist,0.8333333333333334
Evading/antagonist,0.8733333333333334
Evading,0.5800000000000001
Evading,0.5066666666666667
Evading,0.5800000000000001
Evading,0.5199999999999999
Evading,0.43333333333333335
Evading,0.5
Evading,0.55
Evading,0.7433333333333333
Evading,0.6233333333333334
Evading,0.6933333333333334
Evading,0.4633333333333333
Evading,0.5333333333333333
Evading,0.5766666666666667
Evading,0.7766666666666667
Evading,0.5866666666666666
Evading,0.55
Evading,0.64
Evading,0.7033333333333333
Evading,0.6333333333333333
Evading,0.6833333333333335
Evading,0.49333333333333335
Evading,0.6966666666666667
Evading,0.6833333333333332
Evading,0.5033333333333333
Evading,0.6933333333333334
Evading,0.62
Evading,0.64
Evading,0.4533333333333333
Evading,0.54
Evading,0.5366666666666666
Evading,0.5933333333333334
Evading,0.5733333333333333
Evading,0.5466666666666666
Evading,0.5933333333333334
Evading,0.5499999999999999
Evading,0.5066666666666667
Evading,0.5266666666666666
Evading,0.4633333333333334
Evading,0.5533333333333333
Evading,0.51
Evading,0.57
Evading,0.47333333333333333
Evading,0.6566666666666666
Evading,0.6833333333333332
Evading,0.7733333333333334
Evading,0.44333333333333336
Evading,0.6066666666666667
Evading,0.51
Evading,0.53
Evading,0.6
Evading,0.7733333333333334
Evading,0.6933333333333334
Evading,0.7433333333333333
Evading,0.8566666666666666
Evading/antagonist,0.5633333333333334
Evading/antagonist,0.5433333333333333
Evading/antagonist,0.51
Evading/antagonist,0.7233333333333333
Evading/antagonist,0.8033333333333333
canonical/immunogenic,0.6666666666666666
canonical/immunogenic,0.8666666666666667
canonical/immunogenic,0.89
canonical/immunogenic,0.8766666666666666
canonical/immunogenic,0.77
canonical/immunogenic,0.8666666666666667
Deviant,0.6533333333333333
Deviant,0.8733333333333334
Deviant,0.75
Deviant,0.8833333333333333
Deviant,0.7133333333333334
Deviant,0.65
Deviant,0.6433333333333333
Deviant,0.5333333333333333
Deviant,0.5533333333333333
Deviant,0.56
Deviant,0.89
Deviant,0.85
Evading,0.85
Evading,0.7666666666666666
Evading,0.7466666666666667
Evading,0.5933333333333334
Evading/antagonist,0.7833333333333333
Evading/antagonist,0.8466666666666667
Evading/antagonist,0.7666666666666666
Evading/antagonist,0.71
Evading/antagonist,0.8000000000000002
