Classification,ligand_pae_min_fls2
canonical/immunogenic,2.0366666666666666
canonical/immunogenic,2.1133333333333333
canonical/immunogenic,2.1999999999999997
canonical/immunogenic,2.046666666666667
canonical/immunogenic,1.88
canonical/immunogenic,1.97
canonical/immunogenic,1.8399999999999999
canonical/immunogenic,2.35
canonical/immunogenic,2.183333333333333
canonical/immunogenic,2.0933333333333333
canonical/immunogenic,1.7266666666666666
canonical/immunogenic,1.7
canonical/immunogenic,1.9866666666666666
canonical/immunogenic,1.9933333333333334
canonical/immunogenic,1.7166666666666666
canonical/immunogenic,1.7633333333333334
Deviant,2.1599999999999997
Deviant,1.9733333333333334
Deviant,1.7466666666666668
Evading,2.33
Evading/antagonist,3.5966666666666662
Evading/antagonist,3.56
Evading/antagonist,2.983333333333334
Evading,9.183333333333332
Evading,10.823333333333332
Evading,8.186666666666667
Evading,10.506666666666666
Evading,13.266666666666666
Evading,11.033333333333333
Evading,9.253333333333334
Evading,4.88
Evading,7.413333333333334
Evading,5.616666666666667
Evading,11.566666666666668
Evading,9.51
Evading,8.270000000000001
Evading,3.5766666666666667
Evading,8.483333333333333
Evading,10.090000000000002
Evading,6.9433333333333325
Evading,5.553333333333334
Evading,7.086666666666666
Evading,6.033333333333334
Evading,10.096666666666666
Evading,5.226666666666667
Evading,5.493333333333333
Evading,9.383333333333333
Evading,5.3566666666666665
Evading,7.28
Evading,7.280000000000001
Evading,11.496666666666668
Evading,8.973333333333334
Evading,9.226666666666667
Evading,9.346666666666666
Evading,8.270000000000001
Evading,9.576666666666668
Evading,7.12
Evading,8.51
Evading,7.913333333333334
Evading,10.066666666666666
Evading,10.356666666666667
Evading,8.540000000000001
Evading,8.823333333333332
Evading,7.316666666666666
Evading,10.88
Evading,6.253333333333333
Evading,4.583333333333333
Evading,3.186666666666667
Evading,11.273333333333333
Evading,7.330000000000001
Evading,8.86
Evading,9.576666666666666
Evading,7.29
Evading,3.873333333333333
Evading,5.616666666666667
Evading,4.183333333333334
Evading,3.0533333333333332
Evading/antagonist,8.65
Evading/antagonist,6.473333333333334
Evading/antagonist,9.166666666666666
Evading/antagonist,5.056666666666667
Evading/antagonist,3.1933333333333334
canonical/immunogenic,6.353333333333333
canonical/immunogenic,2.6366666666666667
canonical/immunogenic,2.2466666666666666
canonical/immunogenic,2.15
canonical/immunogenic,3.563333333333333
canonical/immunogenic,2.59
Deviant,7.3999999999999995
Deviant,2.3666666666666667
Deviant,5.11
Deviant,2.4000000000000004
Deviant,5.946666666666666
Deviant,6.253333333333333
Deviant,6.673333333333335
Deviant,10.57
Deviant,9.173333333333334
Deviant,10.863333333333335
Deviant,2.28
Deviant,2.75
Evading,2.7266666666666666
Evading,4.126666666666666
Evading,4.79
Evading,9.346666666666666
Evading/antagonist,3.25
Evading/antagonist,3.5833333333333335
Evading/antagonist,4.1866666666666665
Evading/antagonist,5.656666666666667
Evading/antagonist,4.233333333333333
