Classification,ligand_pae_min_coreceptor
canonical/immunogenic,2.3533333333333335
canonical/immunogenic,2.4333333333333336
canonical/immunogenic,2.38
canonical/immunogenic,2.39
canonical/immunogenic,2.1366666666666663
canonical/immunogenic,2.2666666666666666
canonical/immunogenic,1.9333333333333333
canonical/immunogenic,2.5566666666666666
canonical/immunogenic,2.516666666666666
canonical/immunogenic,2.34
canonical/immunogenic,2.033333333333333
canonical/immunogenic,1.7833333333333332
canonical/immunogenic,2.1666666666666665
canonical/immunogenic,2.603333333333333
canonical/immunogenic,1.9133333333333333
canonical/immunogenic,1.87
Deviant,2.4066666666666667
Deviant,2.16
Deviant,1.9166666666666667
Evading,2.3066666666666666
Evading/antagonist,4.13
Evading/antagonist,4.21
Evading/antagonist,3.2900000000000005
Evading,9.770000000000001
Evading,13.053333333333335
Evading,8.636666666666668
Evading,11.103333333333333
Evading,11.743333333333334
Evading,11.083333333333334
Evading,11.176666666666668
Evading,4.913333333333333
Evading,9.610000000000001
Evading,5.913333333333333
Evading,11.576666666666666
Evading,10.72
Evading,9.533333333333333
Evading,3.22
Evading,10.126666666666667
Evading,11.33
Evading,9.719999999999999
Evading,6.083333333333333
Evading,9.306666666666667
Evading,8.936666666666666
Evading,11.063333333333333
Evading,7.873333333333334
Evading,4.736666666666667
Evading,10.57
Evading,8.19
Evading,9.353333333333333
Evading,8.856666666666667
Evading,11.983333333333334
Evading,10.6
Evading,10.613333333333332
Evading,10.933333333333332
Evading,10.883333333333335
Evading,9.803333333333335
Evading,8.07
Evading,10.12
Evading,9.129999999999999
Evading,8.583333333333334
Evading,10.463333333333333
Evading,10.083333333333334
Evading,11.146666666666667
Evading,12.800000000000002
Evading,11.456666666666669
Evading,8.516666666666666
Evading,7.943333333333334
Evading,5.213333333333334
Evading,12.553333333333333
Evading,6.4799999999999995
Evading,10.983333333333334
Evading,9.963333333333333
Evading,9.83
Evading,3.84
Evading,5.913333333333333
Evading,3.736666666666667
Evading,2.6633333333333336
Evading/antagonist,11.063333333333333
Evading/antagonist,10.723333333333334
Evading/antagonist,9.713333333333333
Evading/antagonist,7.460000000000001
Evading/antagonist,3.3166666666666664
canonical/immunogenic,8.206666666666667
canonical/immunogenic,3.08
canonical/immunogenic,2.6
canonical/immunogenic,2.2666666666666666
canonical/immunogenic,4.463333333333333
canonical/immunogenic,5.823333333333333
Deviant,7.586666666666667
Deviant,2.8266666666666667
Deviant,6.436666666666667
Deviant,2.8966666666666665
Deviant,7.546666666666667
Deviant,10.443333333333333
Deviant,6.136666666666667
Deviant,10.693333333333333
Deviant,8.583333333333334
Deviant,10.096666666666666
Deviant,2.5866666666666664
Deviant,2.8166666666666664
Evading,2.9333333333333336
Evading,8.5
Evading,9.35
Evading,10.933333333333332
Evading/antagonist,4.296666666666666
Evading/antagonist,4.023333333333333
Evading/antagonist,9.6
Evading/antagonist,13.996666666666664
Evading/antagonist,6.3500000000000005
